,1000,1250,1500,1750,2000,2250,2500,2750,3000
1000,272,3175,296,5725,319,725,343,98,367,1325,391,3875,415,6425,438,795,463,05
1250,288,855,312,0075,336,2625,359,415,383,67,407,925,431,0775,444,479,5875
1500,304,29,328,545,352,8,375,9525,400,2075,423,36,447,615,471,87,495,0225
1750,320,8275,345,0825,368,235,392,49,415,6425,439,8975,464,1525,487,305,511,56
2000,337,365,360,5175,384,7725,409,0275,435,4875,456,435,479,5875,503,8425,528,0975
2250,352,8,377,055,401,31,424,4625,448,7175,471,87,496,125,520,38,543,5325
2500,369,3375,393,5925,416,745,441,465,255,488,4075,512,6625,535,815,560,07
2750,385,875,409,0275,433,2825,457,5375,480,69,504,945,528,0975,552,3525,576,6075
3000,401,31,425,565,449,82,472,9725,497,2275,521,4825,544,635,568,89,592,0425
