,1000,1250,1500,1750,2000,2250,2500,2750,3000
1000,248,0625,272,3175,295,47,319,725,342,8775,367,1325,391,3875,414,54,438,795
1250,257,985,282,24,305,3925,329,6475,353,9025,377,055,401,31,425,565,448,7175
1500,267,9075,292,1625,316,4175,339,57,363,825,388,08,411,2325,435,4875,458,64
1750,278,9325,302,085,326,34,349,4925,373,7475,398,0025,421,155,445,41,469,665
2000,288,855,312,0075,336,2625,360,5175,383,67,407,925,432,18,455,3325,479,5875
2250,298,7775,323,0325,346,185,370,44,394,695,417,8475,442,1025,465,255,489,51
2500,308,7,332,955,356,1075,380,3625,404,6175,427,77,452,025,476,28,499,4325
2750,318,6225,342,8775,367,1325,390,285,414,54,438,795,461,9475,486,2025,509,355
3000,329,6475,352,8,377,055,401,31,424,4625,448,7175,471,87,496,125,520,38
