,600,750,900,1050,1200,1350,1500,1650,1800,1950,2100,2250,2400,2550,2700,2850,3000
600,60,65,70,74,79,83,88,92,97,102,106,111,124,128,133,160,166
800,63,68,73,78,83,88,93,98,103,108,113,118,131,136,141,169,176
1000,65,70,76,81,87,92,98,103,109,114,119,125,139,144,150,178,185
1200,67,73,79,85,91,96,102,108,114,120,126,132,146,152,158,187,194
1400,69,75,82,88,95,101,107,114,120,126,133,139,154,160,167,196,204
1600,71,78,85,92,98,105,112,119,126,133,139,146,161,168,175,205,213
1800,73,81,88,95,102,110,117,124,132,139,146,153,169,176,184,214,222
2000,75,83,91,99,106,114,122,130,137,145,153,161,177,184,192,223,232
2200,77,86,94,102,110,118,127,135,143,151,159,168,184,192,201,232,241
2400,80,88,97,106,114,123,132,140,149,157,166,175,192,200,209,241,251
2600,89,98,112,116,123,135,144,153,162,172,181,190,199,209,218,250,260
2800,91,101,115,120,130,139,149,159,168,178,188,197,207,217,226,258,269
3000,98,109,126,132,143,154,166,177,188,200,211,222,234,245,256,267,279
