,600,750,900,1050,1200,1350,1500,1650,1800,1950,2100,2250,2400,2550,2700,2850,3000
600,72,77,81,85,89,93,97,101,105,109,113,117,130,134,138,165,170
800,74,79,83,87,92,96,101,105,109,114,118,123,135,140,144,172,177
1000,76,80,85,90,95,99,104,109,114,118,123,128,141,146,151,178,184
1200,77,82,88,93,98,103,108,113,118,123,128,133,147,152,157,185,191
1400,79,84,90,95,101,106,111,117,122,128,133,138,152,158,163,191,198
1600,81,86,92,98,104,109,115,121,127,132,138,144,158,164,169,198,205
1800,82,88,94,100,107,113,119,125,131,137,143,149,163,170,176,204,212
2000,84,90,97,103,110,116,122,129,135,141,148,154,169,175,182,211,219
2200,86,92,99,106,112,119,126,133,139,146,153,160,175,181,188,218,226
2400,87,94,101,108,115,122,130,137,144,151,158,165,180,187,194,224,233
2600,96,103,111,118,124,133,141,148,156,163,171,178,186,193,201,231,240
2800,98,105,113,121,129,137,144,152,160,168,176,184,191,199,207,237,246
3000,104,113,123,132,141,151,160,169,179,188,197,207,216,225,235,244,253
