0,2025
900,2.79
1050,2.95
1200,3.12
1350,3.29
1500,3.45
1650,3.62
1800,3.78
1950,3.95
2100,4.11
2250,4.28
2400,4.44
2550,4.61
2700,4.78
2850,4.94
3000,5.11
