0,600,800,1000,1200,1400,1500,1600
600,95,111,174,190,205,253,277
700,111,126,190,198,213,261,284
800,126,142,205,213,221,277,300
900,142,158,213,221,229,284,316
1000,158,190,221,229,237,292,324
1100,190,205,229,237,245,316,332
1200,205,213,237,245,253,324,348
1300,221,221,245,253,261,332,363
1400,229,237,253,261,269,348,371
1500,235,245,256,269,277,356,379
1600,237,251,261,277,284,363,387
1700,245,256,269,284,292,371,395
