,610,710,810,910,1010,1110,1210,1310,1410,1510,1610,1710,1810,1910,2010,2110,2210,2310,2410,2510,2610,2710,2810,2910
600,89,96,102,109,115,121,127,133,139,146,152,153,159,165,170,177,269,277,284,287,294,305,312,320
700,93,100,107,114,121,127,134,141,148,150,156,163,169,176,182,189,282,290,298,301,310,320,328,336
800,97,104,111,119,127,134,141,144,151,159,166,173,180,187,194,201,295,303,312,316,325,336,345,353
900,100,108,116,125,133,141,144,152,159,167,175,183,190,198,205,214,307,317,326,330,340,352,361,370
1000,112,122,131,142,147,156,165,175,184,194,203,212,222,231,240,250,346,357,368,374,385,399,410,420
1100,116,126,136,143,153,162,172,182,192,203,213,222,232,242,252,263,359,370,382,388,400,414,426,437
1200,119,130,141,148,159,169,179,190,200,211,222,232,243,253,263,275,372,384,396,403,415,430,442,454
1300,123,134,141,153,164,175,186,197,208,220,231,242,253,264,275,287,384,397,410,417,430,446,458,471
1400,127,139,146,159,170,182,193,205,216,229,240,252,264,275,287,299,397,410,424,432,445,461,474,488
1500,130,139,151,164,176,188,200,212,225,238,250,262,274,286,298,311,410,424,437,446,460,477,491,505
1600,142,151,165,180,194,208,221,235,249,264,278,292,305,319,333,348,448,464,479,490,505,524,540,555
1700,141,155,170,185,200,214,228,243,257,273,287,302,316,330,345,360,461,477,493,504,520,540,556,572
1800,144,159,174,191,206,220,235,250,265,282,297,311,326,341,356,373,474,491,507,519,536,555,572,589
1900,148,164,179,196,211,227,242,258,274,290,306,321,337,352,368,385,487,504,521,533,551,571,588,605
2000,152,168,184,201,217,233,249,266,282,299,315,331,347,363,380,397,499,517,535,548,566,587,604,622
2100,155,172,188,206,223,240,256,273,290,308,324,341,358,374,391,409,512,531,549,562,581,602,621,639
2200,166,184,203,223,241,259,278,296,314,334,353,371,389,408,426,446,551,571,591,606,626,649,669,690
2300,169,188,207,228,247,266,285,304,322,343,362,381,400,419,438,458,563,584,605,620,641,665,686,706
2400,173,192,212,233,253,272,292,311,331,352,371,391,410,430,449,470,576,597,619,635,656,681,702,723
2500,176,197,217,238,258,278,299,319,339,360,381,401,421,441,461,483,589,611,633,649,671,696,718,740
2600,180,201,221,244,264,285,306,326,347,369,390,410,431,452,472,495,602,624,647,664,686,712,734,757
2700,184,205,226,249,270,291,313,334,355,378,399,420,442,463,484,507,615,638,660,678,701,728,751,774
2800,194,217,240,265,288,311,334,357,380,404,427,450,473,496,519,544,653,678,702,722,747,775,799,824
2900,198,221,245,270,294,317,341,364,388,413,437,460,484,507,531,556,666,691,716,736,762,790,816,841
3000,201,226,250,276,300,324,348,372,396,422,446,470,494,518,542,568,679,704,730,751,777,806,832,858
3100,205,230,254,281,305,330,355,379,404,431,455,480,505,529,554,580,691,718,744,765,792,822,848,874
3200,208,234,259,286,311,337,362,387,412,439,465,490,515,540,565,593,704,731,758,780,807,837,864,891
